epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,265.678,1.49174,1.25584,1.62308,0.58194,0.5,0.56015,0.22717,2.25284,1.81092,2.52273,0.0015941,0.0015941,0.0015941
43,272.034,1.53128,1.3174,1.64639,0.61798,0.4125,0.46697,0.17851,2.2072,1.87214,2.51145,0.0015842,0.0015842,0.0015842
44,277.821,1.47989,1.19743,1.55567,0.48371,0.6,0.47248,0.18824,1.85967,1.64848,2.30053,0.0015743,0.0015743,0.0015743
45,284.176,1.39902,1.17933,1.56048,0.58349,0.6375,0.61155,0.26727,1.86346,1.70453,2.32463,0.0015644,0.0015644,0.0015644
46,289.95,1.48154,1.27051,1.65395,0.53134,0.575,0.52815,0.21275,2.08507,1.53623,2.64109,0.0015545,0.0015545,0.0015545
47,296.242,1.42071,1.19322,1.61038,0.60313,0.6,0.56343,0.20988,1.85105,1.87214,2.32688,0.0015446,0.0015446,0.0015446
48,302.006,1.38645,1.11011,1.53952,0.82756,0.5875,0.69774,0.31925,1.79776,1.38078,2.2619,0.0015347,0.0015347,0.0015347
49,308.427,1.38598,1.10971,1.54246,0.66054,0.675,0.67896,0.31985,1.72824,1.53438,2.17217,0.0015248,0.0015248,0.0015248
50,314.124,1.36488,1.0561,1.49135,0.7088,0.6375,0.68188,0.29697,1.87186,1.44166,2.38645,0.0015149,0.0015149,0.0015149
51,320.438,1.37248,1.0951,1.52375,0.76085,0.5375,0.62093,0.28632,1.82192,1.56052,2.25582,0.001505,0.001505,0.001505
52,326.168,1.38655,1.09491,1.53798,0.61355,0.67477,0.6714,0.28817,1.78235,1.37229,2.19238,0.0014951,0.0014951,0.0014951
53,332.663,1.37769,1.12131,1.53453,0.56405,0.6625,0.66563,0.30791,1.8805,1.42017,2.22466,0.0014852,0.0014852,0.0014852
54,338.417,1.35717,1.05055,1.49888,0.66541,0.5875,0.64055,0.29277,2.03307,1.37061,2.44787,0.0014753,0.0014753,0.0014753
55,344.751,1.39281,1.03925,1.52663,0.744,0.6,0.70772,0.31685,1.95398,1.22797,2.43033,0.0014654,0.0014654,0.0014654
56,350.517,1.38839,1.06166,1.55168,0.59815,0.5375,0.55957,0.23842,1.68051,1.46786,2.08546,0.0014555,0.0014555,0.0014555
57,356.905,1.33042,1.06846,1.46893,0.694,0.55,0.62878,0.26809,1.78505,1.45087,2.11751,0.0014456,0.0014456,0.0014456
58,362.715,1.30554,1.03806,1.49052,0.67063,0.6625,0.70153,0.31974,1.66673,1.49134,2.15372,0.0014357,0.0014357,0.0014357
59,369.222,1.26892,0.94395,1.45265,0.68472,0.6125,0.65798,0.30456,1.67179,1.61191,2.12043,0.0014258,0.0014258,0.0014258
60,375.002,1.30385,0.99568,1.48941,0.64486,0.63554,0.66679,0.2809,1.80828,1.6036,2.29205,0.0014159,0.0014159,0.0014159
61,381.339,1.31738,1.02673,1.50753,0.50118,0.56517,0.54422,0.2256,1.9545,1.72214,2.49864,0.001406,0.001406,0.001406
62,387.129,1.25903,0.98235,1.4799,0.54689,0.6,0.59299,0.2556,1.97267,1.72828,2.32116,0.0013961,0.0013961,0.0013961
63,393.479,1.24716,0.93137,1.44151,0.64932,0.575,0.6048,0.27711,2.17278,1.73275,2.5315,0.0013862,0.0013862,0.0013862
64,399.324,1.23807,0.92706,1.43281,0.70218,0.6484,0.67128,0.29652,1.9917,1.35946,2.38719,0.0013763,0.0013763,0.0013763
65,405.615,1.24748,0.94665,1.42873,0.65463,0.5625,0.6587,0.27336,2.06637,1.40413,2.60077,0.0013664,0.0013664,0.0013664
66,411.421,1.2104,0.8801,1.4478,0.63519,0.675,0.68959,0.29441,1.81582,1.30207,2.3049,0.0013565,0.0013565,0.0013565
67,417.842,1.27837,0.9649,1.46199,0.65403,0.6375,0.69601,0.31581,1.89519,1.21978,2.37849,0.0013466,0.0013466,0.0013466
68,423.619,1.26137,0.90302,1.46098,0.63766,0.68197,0.69165,0.27946,1.92196,1.48933,2.44251,0.0013367,0.0013367,0.0013367
69,429.92,1.17557,0.8516,1.38782,0.68632,0.60172,0.64919,0.29803,1.78496,1.55534,2.24576,0.0013268,0.0013268,0.0013268
70,435.754,1.20093,0.8774,1.41712,0.70205,0.625,0.67747,0.30393,1.88476,1.47704,2.30327,0.0013169,0.0013169,0.0013169
71,442.065,1.19695,0.88995,1.42489,0.61102,0.6875,0.67607,0.29836,1.89632,1.15751,2.32682,0.001307,0.001307,0.001307
72,447.902,1.21804,0.8682,1.43858,0.75924,0.675,0.69976,0.33668,1.65662,1.36563,2.06817,0.0012971,0.0012971,0.0012971
73,454.375,1.14466,0.85565,1.4009,0.8659,0.64575,0.74825,0.37053,1.70883,1.08924,2.15295,0.0012872,0.0012872,0.0012872
74,460.218,1.19113,0.88294,1.43417,0.81734,0.675,0.76607,0.37271,1.53805,1.02357,1.96499,0.0012773,0.0012773,0.0012773
75,466.709,1.12563,0.80633,1.36281,0.77445,0.77259,0.77492,0.34525,1.63647,1.07995,2.04402,0.0012674,0.0012674,0.0012674
76,472.488,1.16762,0.8715,1.38804,0.83839,0.6375,0.75685,0.32973,1.7666,1.16686,2.1944,0.0012575,0.0012575,0.0012575
77,478.771,1.12833,0.85356,1.38859,0.84041,0.6375,0.74233,0.35469,1.8191,1.47951,2.27899,0.0012476,0.0012476,0.0012476
78,484.529,1.15172,0.86633,1.3649,0.86427,0.6875,0.77886,0.35382,1.72892,1.12038,2.17885,0.0012377,0.0012377,0.0012377
79,490.846,1.1392,0.83732,1.39768,0.85952,0.61184,0.75613,0.34591,1.94398,1.2352,2.44345,0.0012278,0.0012278,0.0012278
80,496.638,1.09945,0.82183,1.38266,0.82264,0.6875,0.76641,0.37787,1.66382,1.05853,2.15161,0.0012179,0.0012179,0.0012179
81,503.105,1.14266,0.86451,1.40684,0.82444,0.7375,0.82456,0.39281,1.71289,1.07061,2.15805,0.001208,0.001208,0.001208
82,508.968,1.07956,0.7781,1.34788,0.70412,0.725,0.76539,0.36252,1.7777,1.21211,2.24166,0.0011981,0.0011981,0.0011981
83,515.347,1.09918,0.77738,1.31227,0.70008,0.6625,0.69099,0.30032,2.00436,1.40132,2.51144,0.0011882,0.0011882,0.0011882
84,521.105,1.1051,0.81295,1.37726,0.81651,0.7,0.75599,0.32981,1.72777,1.13239,2.23346,0.0011783,0.0011783,0.0011783
85,527.599,1.10495,0.81038,1.38477,0.83258,0.6875,0.77002,0.32795,1.7315,1.18828,2.26149,0.0011684,0.0011684,0.0011684
86,533.383,1.06956,0.80549,1.34462,0.80842,0.6625,0.7696,0.30284,1.93444,1.30065,2.45765,0.0011585,0.0011585,0.0011585
87,539.717,1.06755,0.79227,1.35654,0.68282,0.7875,0.76016,0.32758,2.02788,1.23427,2.57644,0.0011486,0.0011486,0.0011486
